name,last_name,subject,subject_grade,weight,height,age,birthdate,city,lives_with,phisical_act,sleep_hours,extra_act
Aggi,Mingard,Algoritmos y programacion.,30,58,1.69,19,27/01/03,Tunja,brother,sport-one-two,sleep-six-hours,none-extra
Alaine,Alfonsetto,Algoritmos y programacion,3.6,80,1.80,19,30/07/02,Tunja,alone,sport-one-two,sleep-six-hours,extra-two-hour
Nessa,McQuirter,algoritmos y programacion,3.8,81,1.86,19,22/12/02,tunja,alone,sport-plus-four,sleep-seven-hours,extra-plusfive-hour
Trina,Oakenfull,Algoritmos y programacion,4.0,73,1.81,21,3/01/01,Tunja,first-family,sport-one-two,sleep-six-hours,extra-two-hour
Arlina,Kealey,Algoritmos y programacion,3.5,58,1.76,19,27/11/02,Tunja,first-family,sport-plus-four,sleep-six-hours,extra-plustwo-hour
Leroi,Sturney,algoritmos y programacion,34,70.0,1.80,19,11/04/03,tunja,brother,sport-three-four,sleep-six-hours,extra-plustwo-hour
Nickola,Fardo,Algoritmos y programacion ,3.5,110,1.77,19,21/02/03,Tunja,first-family,none-sport,sleep-six-hours,none-extra
Coralyn,Cufflin,Algoritmos y Programacion,2.8,54,1.60,17,23/11/04,Samacá,first-family,sport-one-two,sleep-six-hours,extra-plusfive-hour
Andy,Gerbel,Algoritmos y programacion,3.7,60,1.73,20,4/11/01,Tunja,brother,sport-plus-four,sleep-eight-hours,extra-one-hour
Tanney,Clive,Algoritmos y programacion ,4.0,58,1.58,18,1/01/04,Tunja,second-family,sport-plus-four,sleep-five-hours,none-extra
Marysa,Cockings,Algoritmos y programacion,3.0,54,1.56,36,31/03/86,Tunja,alone,none-sport,sleep-six-hours,none-extra
Durant,Grellis,Bases de Datos II,2.5,63,1.76,19,27/08/02,Tunja,first-family,sport-one-two,sleep-four-hours,none-extra
Gothart,Kelleher,Bases de datos ll,3.5,69,1.83,20,22/11/01,Tunja,second-family,sport-plus-four,sleep-seven-hours,extra-two-hour
Fidelio,Drinkel,Bases de datos dos ,4.5,63,1.78,21,6/01/01,Tunja,alone,none-sport,sleep-seven-hours,extra-plustwo-hour
Blake,Losemann,Bases de datos ll,3.5,80,1.87,21,2/11/00,Tunja,alone,none-sport,sleep-seven-hours,none-extra
Shaylah,Callinan,Algoritmos y programacion ,4.3,56,1.77  ,17,25/01/05,Tunja ,alone,sport-three-four,sleep-five-hours,extra-two-hour
Rafi,Crumpe,Bases de Datos II,4.2,60,1.67,24,26/11/97,Tunja,alone,none-sport,sleep-seven-hours,extra-plustwo-hour
Theo,Bulfoy,Bases de datos 2,3,63,1.7,21,15/07/22,Tunja,alone,sport-one-two,sleep-seven-hours,extra-two-hour
Alden,Pirnie,Bases de datos II,4.3,57,1.68,20,21/09/01,Tunja,first-family,sport-three-four,sleep-seven-hours,extra-plustwo-hour
Brina,Rubbens,Bases datos 2,3.5,47,1.64,22,30/06/00,Tunja ,second-family,sport-one-two,sleep-six-hours,extra-plustwo-hour
Keene,Cowern,Bases de datos 2 ,4.5,72,1.80,20,11/11/01,Tunja ,brother,sport-three-four,sleep-six-hours,extra-plustwo-hour
Carlynn,Clover,Base de datos II,3.7,59,1.71,20,30/11/01,Tunja,alone,sport-one-two,sleep-six-hours,extra-one-hour
Faythe,Sempill,Bases de datos II,3.7,69.5,1.71,19,14/08/02,Tunja ,first-family,sport-plus-four,sleep-five-hours,extra-plustwo-hour
